GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,BLOCKA,CONCITA,RES_ONLYA,TRUSTA,AIANHHA,AITSCEA,TTRACTA,TBLKGRPA,ANRCA,CBSAA,METDIVA,CSAA,NECTAA,NECTADIVA,CNECTAA,UAA,URBRURALA,CDA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,NAME,SABINSA,H7V001,H7W001,H7W002,H7W003,H7W004,H7W005,H7W006,H7Z001,H7Z002,H7Z003,H7Z004,H7Z005,H7Z006,H7Z007,H7Z008,H7Z009,H7Z010,H7Z011,H7Z012,H7Z013,H7Z014,H7Z015,H7Z016,H7Z017,H76001,H76002,H76003,H76004,H76005,H76006,H76007,H76008,H76009,H76010,H76011,H76012,H76013,H76014,H76015,H76016,H76017,H76018,H76019,H76020,H76021,H76022,H76023,H76024,H76025,H76026,H76027,H76028,H76029,H76030,H76031,H76032,H76033,H76034,H76035,H76036,H76037,H76038,H76039,H76040,H76041,H76042,H76043,H76044,H76045,H76046,H76047,H76048,H76049
"G20000500818003","2010","2","4","Kansas","20","Atchison County","005",,,"081800","3",,,,,,,,,,"11860","99999","312",,,,,,,,,,,,,,"Block Group 3",,1192,1192,1163,0,1163,29,0,1192,1149,1071,43,6,1,0,1,27,43,27,0,0,0,0,12,4,1192,527,45,50,37,26,9,5,3,28,33,39,30,33,35,35,22,9,16,13,10,20,14,8,7,665,41,39,35,25,12,5,9,18,38,33,26,38,39,39,39,13,30,17,23,27,31,37,51
"G20000500819001","2010","2","4","Kansas","20","Atchison County","005",,,"081900","1",,,,,,,,,,"11860","99999","312",,,,,,,,,,,,,,"Block Group 1",,940,940,940,0,940,0,0,940,912,832,49,1,7,1,0,22,28,19,0,0,0,0,8,1,940,465,31,27,25,18,12,5,7,30,30,25,34,31,25,40,25,17,19,7,8,12,18,11,8,475,34,32,19,17,6,7,19,23,23,27,25,34,38,24,24,10,24,8,10,24,18,13,16
"G20000500819002","2010","2","4","Kansas","20","Atchison County","005",,,"081900","2",,,,,,,,,,"11860","99999","312",,,,,,,,,,,,,,"Block Group 2",,793,793,793,0,793,0,0,793,763,670,59,9,5,0,0,20,30,17,3,1,0,0,5,4,793,363,33,32,20,13,11,4,11,24,39,14,17,15,28,17,26,13,7,4,9,7,11,4,4,430,37,21,30,15,4,6,12,21,32,24,21,16,26,28,36,11,11,9,13,16,14,11,16
"G20000500819003","2010","2","4","Kansas","20","Atchison County","005",,,"081900","3",,,,,,,,,,"11860","99999","312",,,,,,,,,,,,,,"Block Group 3",,631,631,631,0,631,0,0,631,610,560,32,3,2,1,0,12,21,17,0,0,0,0,3,1,631,302,23,31,22,12,12,2,13,14,25,21,15,14,22,25,14,8,8,2,6,3,2,6,2,329,20,22,23,15,10,7,0,13,20,23,19,18,27,23,17,9,7,6,3,12,13,9,13
"G20000500819004","2010","2","4","Kansas","20","Atchison County","005",,,"081900","4",,,,,,,,,,"11860","99999","312",,,,,,,,,,,,,,"Block Group 4",,762,762,762,0,762,0,0,762,749,673,49,11,8,0,0,8,13,9,0,0,0,0,4,0,762,403,27,42,34,16,12,7,7,32,26,24,20,23,29,28,20,7,9,4,5,16,8,4,3,359,28,19,33,14,4,3,7,24,17,23,18,26,26,25,18,8,15,3,7,10,10,13,8
"G20000709681001","2010","2","4","Kansas","20","Barber County","007",,,"968100","1",,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Block Group 1",,562,562,0,0,0,562,0,562,547,538,2,0,5,0,0,2,15,6,0,1,0,0,3,5,562,276,10,10,9,8,9,2,1,10,12,10,16,12,26,29,28,9,13,9,17,15,11,9,1,286,17,17,13,14,1,4,4,5,14,16,8,12,22,23,27,10,14,14,6,15,18,5,7
"G20000709681002","2010","2","4","Kansas","20","Barber County","007",,,"968100","2",,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Block Group 2",,1002,1002,0,0,0,1002,0,1002,981,965,6,3,0,0,0,7,21,14,0,0,0,0,7,0,1002,509,36,36,37,25,8,9,2,17,24,32,28,19,43,40,45,13,19,8,13,14,22,11,8,493,31,20,20,21,12,5,4,14,30,34,24,28,36,39,39,13,14,16,8,32,20,18,15
"G20000709681003","2010","2","4","Kansas","20","Barber County","007",,,"968100","3",,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Block Group 3",,693,693,0,0,0,693,0,693,679,652,7,2,9,0,0,9,14,6,0,1,0,0,5,2,693,341,34,22,17,12,7,3,5,12,34,22,11,14,26,32,25,8,10,12,5,11,8,9,2,352,32,23,20,11,7,5,5,13,31,18,14,17,24,26,16,8,15,7,6,17,20,8,9
"G20000709681004","2010","2","4","Kansas","20","Barber County","007",,,"968100","4",,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Block Group 4",,881,881,0,0,0,881,0,881,867,830,3,6,3,0,13,12,14,10,1,0,0,0,3,0,881,454,29,26,40,33,16,0,2,12,21,12,26,27,31,30,45,10,13,12,14,17,17,10,11,427,23,18,33,31,13,3,1,9,19,19,29,29,27,35,23,10,19,13,18,9,24,6,16
"G20000709682001","2010","2","4","Kansas","20","Barber County","007",,,"968200","1",,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Block Group 1",,909,909,0,0,0,909,0,909,883,858,0,7,3,0,0,15,26,15,1,1,0,0,9,0,909,459,38,27,29,13,6,2,1,19,20,19,27,26,32,53,34,11,18,13,10,17,21,12,11,450,19,32,31,16,3,0,3,16,23,25,14,21,31,34,36,12,22,8,16,28,23,14,23
"G20000709682002","2010","2","4","Kansas","20","Barber County","007",,,"968200","2",,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Block Group 2",,814,814,0,0,0,814,0,814,785,765,2,6,0,0,0,12,29,14,0,0,0,0,12,3,814,412,21,21,25,18,15,3,4,13,23,20,6,19,30,38,29,16,19,14,18,15,21,9,15,402,17,19,21,17,6,3,3,14,19,13,17,16,27,44,34,5,17,11,12,17,19,17,34
"G20000909711001","2010","2","4","Kansas","20","Barton County","009",,,"971100","1",,,,,,,,,,"24460","99999","999",,,,,,,,,,,,,,"Block Group 1",,484,484,0,0,0,484,0,484,482,473,0,6,0,0,0,3,2,2,0,0,0,0,0,0,484,254,10,11,13,15,6,4,2,8,11,9,5,11,21,30,24,7,13,6,9,13,12,9,5,230,9,8,17,14,3,1,2,2,10,6,9,16,23,22,19,8,5,2,14,7,12,12,9
"G20000909711002","2010","2","4","Kansas","20","Barton County","009",,,"971100","2",,,,,,,,,,"24460","99999","999",,,,,,,,,,,,,,"Block Group 2",,1008,1008,0,0,0,1008,0,1008,985,971,2,2,0,0,0,10,23,14,0,0,0,0,8,1,1008,498,26,29,36,19,22,6,0,16,31,28,14,26,53,57,42,7,10,8,14,23,13,9,9,510,27,30,33,29,15,2,4,10,32,22,19,35,36,57,31,12,15,12,12,23,19,17,18
"G20000909711003","2010","2","4","Kansas","20","Barton County","009",,,"971100","3",,,,,,,,,,"24460","99999","999",,,,,,,,,,,,,,"Block Group 3",,596,596,0,0,0,596,0,596,572,552,2,4,0,0,0,14,24,10,0,0,1,0,13,0,596,295,20,20,30,11,6,6,3,8,17,16,15,8,28,24,24,7,8,4,11,12,8,4,5,301,25,14,17,20,7,1,3,9,13,18,15,22,25,20,19,5,8,8,8,9,11,12,12
"G20000909711004","2010","2","4","Kansas","20","Barton County","009",,,"971100","4",,,,,,,,,,"24460","99999","999",,,,,,,,,,,,,,"Block Group 4",,903,903,0,0,0,903,0,903,879,857,4,3,0,0,0,15,24,16,0,0,0,0,5,3,903,429,34,22,22,17,8,2,6,15,24,24,17,17,33,36,28,9,16,12,11,16,18,23,19,474,25,22,18,16,8,6,7,18,24,20,13,16,33,31,31,9,20,13,9,25,33,25,52
"G20000909711005","2010","2","4","Kansas","20","Barton County","009",,,"971100","5",,,,,,,,,,"24460","99999","999",,,,,,,,,,,,,,"Block Group 5",,980,980,0,0,0,980,0,980,965,956,0,5,1,0,0,3,15,12,0,0,0,0,1,2,980,490,44,29,34,18,8,5,6,23,26,23,37,22,43,40,41,12,12,11,13,16,18,6,3,490,35,19,33,19,14,7,4,18,20,33,29,16,54,47,43,9,11,12,10,18,14,17,8
"G20000909712001","2010","2","4","Kansas","20","Barton County","009",,,"971200","1",,,,,,,,,,"24460","99999","999",,,,,,,,,,,,,,"Block Group 1",,618,618,0,0,0,618,0,618,608,604,0,2,0,0,0,2,10,4,1,0,0,0,5,0,618,328,12,13,21,13,8,1,8,7,17,8,10,20,40,29,33,14,7,12,14,12,10,15,4,290,10,11,18,11,11,0,2,5,9,7,14,26,30,35,23,8,10,5,7,12,16,9,11
"G20000909712002","2010","2","4","Kansas","20","Barton County","009",,,"971200","2",,,,,,,,,,"24460","99999","999",,,,,,,,,,,,,,"Block Group 2",,1086,1086,0,0,0,1086,0,1086,1047,1029,1,3,0,0,0,14,39,15,0,1,0,0,20,3,1086,580,35,37,41,30,7,1,10,12,29,23,16,30,42,64,50,31,24,12,18,24,18,16,10,506,20,26,24,16,13,3,2,13,24,21,28,24,59,47,63,13,29,3,11,19,21,18,9
"G20000909713001","2010","2","4","Kansas","20","Barton County","009",,,"971300","1",,,,,,,,,,"24460","99999","999",,,,,,,,,,,,,,"Block Group 1",,603,603,568,0,568,35,0,603,593,582,5,0,0,0,0,6,10,6,0,0,0,0,3,1,603,289,18,34,22,13,4,1,2,3,20,21,14,18,13,17,17,9,8,7,7,16,12,11,2,314,17,11,18,15,5,3,6,4,15,19,13,18,12,22,23,8,12,8,10,20,25,17,13
"G20000909713002","2010","2","4","Kansas","20","Barton County","009",,,"971300","2",,,,,,,,,,"24460","99999","999",,,,,,,,,,,,,,"Block Group 2",,555,555,252,0,252,303,0,555,532,524,1,3,3,0,0,1,23,14,0,0,0,0,4,5,555,283,12,14,19,18,4,2,2,5,12,11,12,17,26,38,25,8,8,9,6,13,12,6,4,272,14,10,18,10,10,1,4,8,9,10,12,18,21,37,22,9,10,4,10,13,10,1,11
