GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,BLOCKA,CONCITA,RES_ONLYA,TRUSTA,AIANHHA,AITSCEA,TTRACTA,TBLKGRPA,ANRCA,CBSAA,METDIVA,CSAA,NECTAA,NECTADIVA,CNECTAA,UAA,URBRURALA,CDA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,NAME,SABINSA,H7V001
"G20001500206002","2010","2","4","Kansas","20","Butler County","015",,,"020600","2",,,,,,,,,,"48620","99999","556",,,,,,,,,,,,,,"Block Group 2",,691
"G20001500206003","2010","2","4","Kansas","20","Butler County","015",,,"020600","3",,,,,,,,,,"48620","99999","556",,,,,,,,,,,,,,"Block Group 3",,2247
"G20001500206004","2010","2","4","Kansas","20","Butler County","015",,,"020600","4",,,,,,,,,,"48620","99999","556",,,,,,,,,,,,,,"Block Group 4",,2103
"G20001500206005","2010","2","4","Kansas","20","Butler County","015",,,"020600","5",,,,,,,,,,"48620","99999","556",,,,,,,,,,,,,,"Block Group 5",,1524
"G20001500207001","2010","2","4","Kansas","20","Butler County","015",,,"020700","1",,,,,,,,,,"48620","99999","556",,,,,,,,,,,,,,"Block Group 1",,2182
"G20001500207002","2010","2","4","Kansas","20","Butler County","015",,,"020700","2",,,,,,,,,,"48620","99999","556",,,,,,,,,,,,,,"Block Group 2",,602
"G20001500207003","2010","2","4","Kansas","20","Butler County","015",,,"020700","3",,,,,,,,,,"48620","99999","556",,,,,,,,,,,,,,"Block Group 3",,1220
"G20001500208001","2010","2","4","Kansas","20","Butler County","015",,,"020800","1",,,,,,,,,,"48620","99999","556",,,,,,,,,,,,,,"Block Group 1",,1241
"G20001500208002","2010","2","4","Kansas","20","Butler County","015",,,"020800","2",,,,,,,,,,"48620","99999","556",,,,,,,,,,,,,,"Block Group 2",,1873
"G20001500209011","2010","2","4","Kansas","20","Butler County","015",,,"020901","1",,,,,,,,,,"48620","99999","556",,,,,,,,,,,,,,"Block Group 1",,657
"G20001500209012","2010","2","4","Kansas","20","Butler County","015",,,"020901","2",,,,,,,,,,"48620","99999","556",,,,,,,,,,,,,,"Block Group 2",,1216
"G20001500209013","2010","2","4","Kansas","20","Butler County","015",,,"020901","3",,,,,,,,,,"48620","99999","556",,,,,,,,,,,,,,"Block Group 3",,2271
"G20001500209021","2010","2","4","Kansas","20","Butler County","015",,,"020902","1",,,,,,,,,,"48620","99999","556",,,,,,,,,,,,,,"Block Group 1",,2367
"G20001500209022","2010","2","4","Kansas","20","Butler County","015",,,"020902","2",,,,,,,,,,"48620","99999","556",,,,,,,,,,,,,,"Block Group 2",,1473
"G20001500209031","2010","2","4","Kansas","20","Butler County","015",,,"020903","1",,,,,,,,,,"48620","99999","556",,,,,,,,,,,,,,"Block Group 1",,1208
"G20001500209032","2010","2","4","Kansas","20","Butler County","015",,,"020903","2",,,,,,,,,,"48620","99999","556",,,,,,,,,,,,,,"Block Group 2",,1517
"G20001500209033","2010","2","4","Kansas","20","Butler County","015",,,"020903","3",,,,,,,,,,"48620","99999","556",,,,,,,,,,,,,,"Block Group 3",,927
"G20001709606001","2010","2","4","Kansas","20","Chase County","017",,,"960600","1",,,,,,,,,,"21380","99999","999",,,,,,,,,,,,,,"Block Group 1",,630
"G20001709606002","2010","2","4","Kansas","20","Chase County","017",,,"960600","2",,,,,,,,,,"21380","99999","999",,,,,,,,,,,,,,"Block Group 2",,543
"G20001709606003","2010","2","4","Kansas","20","Chase County","017",,,"960600","3",,,,,,,,,,"21380","99999","999",,,,,,,,,,,,,,"Block Group 3",,933
"G20001709606004","2010","2","4","Kansas","20","Chase County","017",,,"960600","4",,,,,,,,,,"21380","99999","999",,,,,,,,,,,,,,"Block Group 4",,684
"G20001909646001","2010","2","4","Kansas","20","Chautauqua County","019",,,"964600","1",,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Block Group 1",,477
"G20001909646002","2010","2","4","Kansas","20","Chautauqua County","019",,,"964600","2",,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Block Group 2",,631
"G20001909646003","2010","2","4","Kansas","20","Chautauqua County","019",,,"964600","3",,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Block Group 3",,719
"G20001909646004","2010","2","4","Kansas","20","Chautauqua County","019",,,"964600","4",,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Block Group 4",,787
"G20001909646005","2010","2","4","Kansas","20","Chautauqua County","019",,,"964600","5",,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Block Group 5",,563
"G20001909646006","2010","2","4","Kansas","20","Chautauqua County","019",,,"964600","6",,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Block Group 6",,492
"G20002109581001","2010","2","4","Kansas","20","Cherokee County","021",,,"958100","1",,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Block Group 1",,1209
"G20002109581002","2010","2","4","Kansas","20","Cherokee County","021",,,"958100","2",,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Block Group 2",,965
"G20002109581003","2010","2","4","Kansas","20","Cherokee County","021",,,"958100","3",,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Block Group 3",,822
"G20002109582001","2010","2","4","Kansas","20","Cherokee County","021",,,"958200","1",,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Block Group 1",,1289
"G20002109582002","2010","2","4","Kansas","20","Cherokee County","021",,,"958200","2",,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Block Group 2",,1039
"G20002109583001","2010","2","4","Kansas","20","Cherokee County","021",,,"958300","1",,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Block Group 1",,1188
"G20002109583002","2010","2","4","Kansas","20","Cherokee County","021",,,"958300","2",,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Block Group 2",,942
"G20002109583003","2010","2","4","Kansas","20","Cherokee County","021",,,"958300","3",,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Block Group 3",,833
"G20002109583004","2010","2","4","Kansas","20","Cherokee County","021",,,"958300","4",,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Block Group 4",,1068
"G20002109584001","2010","2","4","Kansas","20","Cherokee County","021",,,"958400","1",,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Block Group 1",,1830
